Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,QDS,n_EDS_in_region,n_collections,QDS_richness,PC1_residual,multivariate_residual
0.24125161587522578,1.1675014454018184,-0.9980357452874302,-0.06847260062057939,-2.5878124247729937,-2.9874930962062485,0.3828557778880018,1.1250029877575112,-1.22373315851903,GCFR,-1.4561327405492437,16.825,-28.275,E016S28BD,0,1332,456,285.9705510686715,164.82123068800675
1.2204889960989118,0.5622833413124066,0.16184417427614065,1.5717697763000529,0.8283559025184418,0.8268949757040953,1.5611033080074461,0.4610830385037859,0.8184899177424566,GCFR,2.6083073619477783,17.075,-28.275,E017S28AC,0,1265,545,52.398289226009936,100.44713686437878
0.6821382388388255,0.3623508847989991,0.6400678397722354,1.6918446799807956,-1.5639529959270178,-1.6045031407597223,2.6064326559201785,-0.34090576121650995,1.9995012971265222,GCFR,1.3945532744603262,16.575,-28.525,E016S28DA,0,493,204,-192.27272290649555,82.484000147519
1.5177860303030477,0.6981223934197497,-1.0998374806080393,0.2645295975922552,0.9291052877690136,0.5632089566920959,1.2068286285387684,0.726366574943862,1.2594886855742897,GCFR,1.9150296352594158,16.825,-28.525,E016S28DB,0,315,193,-244.5800697254239,-253.34620096658983
1.80610907456913,0.29791963740639693,-0.36360841431613006,0.7796409279683318,0.7850220719680947,1.0619800572748135,2.072771750005242,0.05129273491910766,-0.2035776056673237,GCFR,1.9081527383511374,17.075,-28.525,E017S28CA,0,631,357,-80.03428823173117,-118.94551648397396
1.14956827504818,0.5276265450575505,0.2182046000069684,1.4855134188434707,-1.3988770556762982,1.2723954368236365,-0.2285193788083731,-1.0309169739451705,1.115650028348127,GCFR,1.0807527357321187,17.325,-28.525,E017S28CB,0,481,275,-96.36809963924277,-9.49718433072481
0.7904727432527444,-0.06036977509734707,0.6162558064406732,0.14406334758342174,0.10713357177397399,-1.1787653163084468,1.6603455290293851,-0.06222010403691543,1.6265276596043345,GCFR,1.088879743827736,16.575,-28.775,E016S28DC,0,115,75,-297.013095583901,-127.96852250840793
0.930808783440139,-0.6012450184505486,-0.5517853778107024,0.5387870748158431,-0.3908566725955403,0.6106566387397345,-0.4882427627648669,0.22761865287366845,1.331059954707753,GCFR,0.5944799159833822,16.825,-28.775,E016S28DD,0,315,183,-149.77529979884352,33.94916772846638
1.3905752759252037,0.14049563272481866,-0.1351157598426917,1.4606937482183477,0.7424659470692913,0.6495027312401154,1.9669664194252026,1.1711132362958245,2.099019559382403,GCFR,3.0581902499402576,17.075,-28.775,E017S28CC,0,287,203,-325.3064418278198,-105.75770063960488
1.5010238316249662,0.15909830245981083,0.025034067915486832,1.079096392946825,0.5627747976921521,2.0542852323611824,1.6510384014527015,0.9565285210113149,1.5044458146578836,GCFR,2.9936771985556785,17.325,-28.775,E017S28CD,0,518,292,-231.1863956766388,-76.18721033917399
1.083923702796132,-0.32517940599465667,0.11961699491999432,-2.3488267577284163,-0.505335116842891,0.9942830939571149,0.9144354580703123,0.022796187181755766,1.1660334195541968,GCFR,0.026593775761013128,17.575,-28.775,E017S28DC,0,227,146,-141.7052994787284,-60.27653483622838
0.7594734687587649,-0.31665641513121967,0.8103406057925594,1.1240063335947994,-0.05346977842518953,0.9730091133330978,1.0831415625446468,0.7118148934174718,0.04190488131639209,GCFR,1.6652921109410703,16.825,-29.025,E016S29BB,0,216,126,-291.7597756492811,-163.19114653183982
1.2868898286869102,0.03598338343565664,-0.5462217605177322,0.6935877421635357,-0.6499213218348776,1.1964110687666827,1.7059025433302875,1.5008064190402666,1.5886464479640008,GCFR,2.1235745875527896,17.075,-29.025,E017S29AA,0,458,277,-177.1311358650903,40.48121521360356
1.352491274695681,-0.09296486006609625,-0.26072075119768395,1.3998747261181725,-0.24472842679719534,1.9398766249316692,1.1365415632936489,0.7470184661329632,1.587733932366593,GCFR,2.4255691888061106,17.325,-29.025,E017S29AB,0,111,75,-403.0987867921415,-190.09218562677367
0.9981144697339163,0.3708754964628615,0.03985151494336302,0.3453865935560402,0.6722271927404193,-0.039010640248546356,1.7211396853303695,0.7610404222286983,0.8470720150877848,GCFR,1.7788706719969762,17.575,-29.025,E017S29BA,0,856,413,-13.77388150709165,36.05416865129192
0.8439496330321571,-0.12303058646377112,-0.6533729512126943,0.7964547796635887,-1.5102302951057245,0.8336266947124207,0.8608502236228386,-0.11580194780937828,1.8016196482730675,GCFR,0.8124349095060818,17.825,-29.025,E017S29BB,0,492,232,-118.07318916799105,108.53572966645876
0.665905230383929,-0.3232332328418368,-0.9864106533113194,1.7874890746538679,-0.722943397381553,0.24728987847895031,-0.44056014831610296,0.4916426386929892,1.0528019866242624,GCFR,0.7768016002180551,18.075,-29.025,E018S29AA,0,56,45,-302.2451693462901,-120.49967233969369
